pokemon
abilities,attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2
"['Oblivious', 'Own Tempo', 'Regenerator']",75,Royal Pokémon,80,95,Yadokingヤドキング,Slowking,199,100,110,30,water,psychic
['Levitate'],60,Screech Pokémon,60,60,Mumaムウマ,Misdreavus,200,85,85,85,ghost,
['Levitate'],72,Symbol Pokémon,48,48,Unknownアンノーン,Unown,201,72,48,48,psychic,
"['Shadow Tag', 'Telepathy']",33,Patient Pokémon,58,190,Sonansソーナンス,Wobbuffet,202,33,58,33,psychic,
"['Inner Focus', 'Early Bird', 'Sap Sipper']",80,Long Neck Pokémon,65,70,Kirinrikiキリンリキ,Girafarig,203,90,65,85,normal,psychic
"['Sturdy', 'Overcoat']",65,Bagworm Pokémon,90,50,Kunugidamaクヌギダマ,Pineco,204,35,35,15,bug,
"['Sturdy', 'Overcoat']",90,Bagworm Pokémon,140,75,Foretosフォレトス,Forretress,205,60,60,40,bug,steel
"['Serene Grace', 'Run Away', 'Rattled']",70,Land Snake Pokémon,70,100,Nokocchiノコッチ,Dunsparce,206,65,65,45,normal,
"['Hyper Cutter', 'Sand Veil', 'Immunity']",75,Flyscorpion Pokémon,105,65,Gligerグライガー,Gligar,207,35,65,85,ground,flying
"['Rock Head', 'Sturdy', 'Sheer Force']",125,Iron Snake Pokémon,230,75,Haganeilハガネール,Steelix,208,55,95,30,steel,ground
"['Intimidate', 'Run Away', 'Rattled']",80,Fairy Pokémon,50,60,Buluブルー,Snubbull,209,40,40,30,fairy,
"['Intimidate', 'Quick Feet', 'Rattled']",120,Fairy Pokémon,75,90,Granbuluグランブル,Granbull,210,60,60,45,fairy,
"['Poison Point', 'Swift Swim', 'Intimidate']",95,Balloon Pokémon,85,65,Harysenハリーセン,Qwilfish,211,55,55,85,water,poison
"['Swarm', 'Technician', 'Light Metal']",150,Pincer Pokémon,140,70,Hassamハッサム,Scizor,212,65,100,75,bug,steel
"['Sturdy', 'Gluttony', 'Contrary']",10,Mold Pokémon,230,20,Tsubotsuboツボツボ,Shuckle,213,10,230,5,bug,rock
"['Swarm', 'Guts', 'Moxie']",185,Singlehorn Pokémon,115,80,Heracrosヘラクロス,Heracross,214,40,105,75,bug,fighting
"['Inner Focus', 'Keen Eye', 'Pickpocket']",95,Sharp Claw Pokémon,55,55,Nyulaニューラ,Sneasel,215,35,75,115,dark,ice
"['Pickup', 'Quick Feet', 'Honey Gather']",80,Little Bear Pokémon,50,60,Himegumaヒメグマ,Teddiursa,216,50,50,40,normal,
"['Guts', 'Quick Feet', 'Unnerve']",130,Hibernator Pokémon,75,90,Ringumaリングマ,Ursaring,217,75,75,55,normal,
"['Magma Armor', 'Flame Body', 'Weak Armor']",40,Lava Pokémon,40,40,Magmagマグマッグ,Slugma,218,70,40,20,fire,
"['Magma Armor', 'Flame Body', 'Weak Armor']",50,Lava Pokémon,120,60,Magcargotマグカルゴ,Magcargo,219,90,80,30,fire,rock
"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,Pig Pokémon,40,50,Urimooウリムー,Swinub,220,30,30,50,ice,ground
"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,Swine Pokémon,80,100,Inomooイノムー,Piloswine,221,60,60,50,ice,ground
"['Hustle', 'Natural Cure', 'Regenerator']",55,Coral Pokémon,95,65,Sunnygoサニーゴ,Corsola,222,65,95,35,water,rock
"['Hustle', 'Sniper', 'Moody']",65,Jet Pokémon,35,35,Teppouoテッポウオ,Remoraid,223,65,35,65,water,
"['Suction Cups', 'Sniper', 'Moody']",105,Jet Pokémon,75,75,Okutankオクタン,Octillery,224,105,75,45,water,
"['Vital Spirit', 'Hustle', 'Insomnia']",55,Delivery Pokémon,45,45,Delibirdデリバード,Delibird,225,65,45,75,ice,flying
"['Swift Swim', 'Water Absorb', 'Water Veil']",40,Kite Pokémon,70,85,Mantainマンタイン,Mantine,226,80,140,70,water,flying
"['Keen Eye', 'Sturdy', 'Weak Armor']",80,Armor Bird Pokémon,140,65,Airmdエアームド,Skarmory,227,40,70,70,steel,flying
"['Early Bird', 'Flash Fire', 'Unnerve']",60,Dark Pokémon,30,45,Delvilデルビル,Houndour,228,80,50,65,dark,fire
"['Early Bird', 'Flash Fire', 'Unnerve']",90,Dark Pokémon,90,75,Hellgarヘルガー,Houndoom,229,140,90,115,dark,fire
"['Swift Swim', 'Sniper', 'Damp']",95,Dragon Pokémon,95,75,Kingdraキングドラ,Kingdra,230,95,95,85,water,dragon
"['Pickup', 'Sand Veil']",60,Long Nose Pokémon,60,90,Gomazouゴマゾウ,Phanpy,231,40,40,40,ground,
"['Sturdy', 'Sand Veil']",120,Armor Pokémon,120,90,Donfanドンファン,Donphan,232,60,60,50,ground,
"['Trace', 'Download', 'Analytic']",80,Virtual Pokémon,90,85,Porygon2ポリゴン２,Porygon2,233,105,95,60,normal,
"['Intimidate', 'Frisk', 'Sap Sipper']",95,Big Horn Pokémon,62,73,Odoshishiオドシシ,Stantler,234,85,65,85,normal,
"['Own Tempo', 'Technician', 'Moody']",20,Painter Pokémon,35,55,Dobleドーブル,Smeargle,235,20,45,75,normal,
"['Guts', 'Steadfast', 'Vital Spirit']",35,Scuffle Pokémon,35,35,Balkieバルキー,Tyrogue,236,35,35,35,fighting,
"['Intimidate', 'Technician', 'Steadfast']",95,Handstand Pokémon,95,50,Kapoererカポエラー,Hitmontop,237,35,110,70,fighting,
"['Oblivious', 'Forewarn', 'Hydration']",30,Kiss Pokémon,15,45,Muchulムチュール,Smoochum,238,85,65,65,ice,psychic
"['Static', 'Vital Spirit']",63,Electric Pokémon,37,45,Elekidエレキッド,Elekid,239,65,55,95,electric,
"['Flame Body', 'Vital Spirit']",75,Live Coal Pokémon,37,45,Bubyブビィ,Magby,240,70,55,83,fire,
"['Thick Fat', 'Scrappy', 'Sap Sipper']",80,Milk Cow Pokémon,105,95,Miltankミルタンク,Miltank,241,40,70,100,normal,
"['Natural Cure', 'Serene Grace', 'Healer']",10,Happiness Pokémon,10,255,Happinasハピナス,Blissey,242,75,135,55,normal,
"['Pressure', 'Inner Focus']",85,Thunder Pokémon,75,90,Raikouライコウ,Raikou,243,115,100,115,electric,
"['Pressure', 'Inner Focus']",115,Volcano Pokémon,85,115,Enteiエンテイ,Entei,244,90,75,100,fire,
"['Pressure', 'Inner Focus']",75,Aurora Pokémon,115,100,Suicuneスイクン,Suicune,245,90,115,85,water,
"['Guts', 'Sand Veil']",64,Rock Skin Pokémon,50,50,Yogirasヨーギラス,Larvitar,246,45,50,41,rock,ground
['Shed Skin'],84,Hard Shell Pokémon,70,70,Sanagirasサナギラス,Pupitar,247,65,70,51,rock,ground
"['Sand Stream', 'Unnerve']",164,Armor Pokémon,150,100,Bangirasバンギラス,Tyranitar,248,95,120,71,rock,dark
"['Pressure', 'Multiscale']",90,Diving Pokémon,130,106,Lugiaルギア,Lugia,249,90,154,110,psychic,flying
"['Pressure', 'Regenerator']",130,Rainbow Pokémon,90,106,Hououホウオウ,Ho-Oh,250,110,154,90,fire,flying
['Natural Cure'],100,Time Travel Pokémon,100,100,Celebiセレビィ,Celebi,251,100,100,100,psychic,grass
"['Overgrow', 'Unburden']",45,Wood Gecko Pokémon,35,40,Kimoriキモリ,Treecko,252,65,55,70,grass,
"['Overgrow', 'Unburden']",65,Wood Gecko Pokémon,45,50,Juptileジュプトル,Grovyle,253,85,65,95,grass,
"['Overgrow', 'Unburden']",110,Forest Pokémon,75,70,Jukainジュカイン,Sceptile,254,145,85,145,grass,
"['Blaze', 'Speed Boost']",60,Chick Pokémon,40,45,Achamoアチャモ,Torchic,255,70,50,45,fire,
"['Blaze', 'Speed Boost']",85,Young Fowl Pokémon,60,60,Wakasyamoワカシャモ,Combusken,256,85,60,55,fire,fighting
"['Blaze', 'Speed Boost']",160,Blaze Pokémon,80,80,Bursyamoバシャーモ,Blaziken,257,130,80,100,fire,fighting
"['Torrent', 'Damp']",70,Mud Fish Pokémon,50,50,Mizugorouミズゴロウ,Mudkip,258,50,50,40,water,
"['Torrent', 'Damp']",85,Mud Fish Pokémon,70,70,Numacrawヌマクロー,Marshtomp,259,60,70,50,water,ground
"['Torrent', 'Damp']",150,Mud Fish Pokémon,110,100,Laglargeラグラージ,Swampert,260,95,110,70,water,ground
"['Run Away', 'Quick Feet', 'Rattled']",55,Bite Pokémon,35,35,Pochienaポチエナ,Poochyena,261,30,30,35,dark,
"['Intimidate', 'Quick Feet', 'Moxie']",90,Bite Pokémon,70,70,Graenaグラエナ,Mightyena,262,60,60,70,dark,
"['Pickup', 'Gluttony', 'Quick Feet']",30,Tiny Racoon Pokémon,41,38,Jiguzagumaジグザグマ,Zigzagoon,263,30,41,60,normal,
"['Pickup', 'Gluttony', 'Quick Feet']",70,Rush Pokémon,61,78,Massugumaマッスグマ,Linoone,264,50,61,100,normal,
"['Shield Dust', 'Run Away']",45,Worm Pokémon,35,45,Kemussoケムッソ,Wurmple,265,20,30,20,bug,
['Shed Skin'],35,Cocoon Pokémon,55,50,Karasalisカラサリス,Silcoon,266,25,25,15,bug,
"['Swarm', 'Rivalry']",70,Butterfly Pokémon,50,60,Agehuntアゲハント,Beautifly,267,100,50,65,bug,flying
['Shed Skin'],35,Cocoon Pokémon,55,50,Mayuldマユルド,Cascoon,268,25,25,15,bug,
"['Shield Dust', 'Compoundeyes']",50,Poison Moth Pokémon,70,60,Dokucaleドクケイル,Dustox,269,50,90,65,bug,poison
"['Swift Swim', 'Rain Dish', 'Own Tempo']",30,Water Weed Pokémon,30,40,Hassbohハスボー,Lotad,270,40,50,30,water,grass
"['Swift Swim', 'Rain Dish', 'Own Tempo']",50,Jolly Pokémon,50,60,Hasubreroハスブレロ,Lombre,271,60,70,50,water,grass
"['Swift Swim', 'Rain Dish', 'Own Tempo']",70,Carefree Pokémon,70,80,Runpappaルンパッパ,Ludicolo,272,90,100,70,water,grass
"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,Acorn Pokémon,50,40,Tanebohタネボー,Seedot,273,30,30,30,grass,
"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,Wily Pokémon,40,70,Konohanaコノハナ,Nuzleaf,274,60,40,60,grass,dark
"['Chlorophyll', 'Early Bird', 'Pickpocket']",100,Wickid Pokémon,60,90,Dirtengダーテング,Shiftry,275,90,60,80,grass,dark
"['Guts', 'Scrappy']",55,TinySwallow Pokémon,30,40,Subameスバメ,Taillow,276,30,30,85,normal,flying
"['Guts', 'Scrappy']",85,Swallow Pokémon,60,60,Ohsubameオオスバメ,Swellow,277,75,50,125,normal,flying
"['Keen Eye', 'Hydration', 'Rain Dish']",30,Seagull Pokémon,30,40,Camomeキャモメ,Wingull,278,55,30,85,water,flying
"['Keen Eye', 'Drizzle', 'Rain Dish']",50,Water Bird Pokémon,100,60,Pelipperペリッパー,Pelipper,279,95,70,65,water,flying
"['Synchronize', 'Trace', 'Telepathy']",25,Feeling Pokémon,25,28,Raltsラルトス,Ralts,280,45,35,40,psychic,fairy
"['Synchronize', 'Trace', 'Telepathy']",35,Emotion Pokémon,35,38,Kirliaキルリア,Kirlia,281,65,55,50,psychic,fairy
"['Synchronize', 'Trace', 'Telepathy']",85,Embrace Pokémon,65,68,Sirnightサーナイト,Gardevoir,282,165,135,100,psychic,fairy
"['Swift Swim', 'Rain Dish']",30,Pond Skater Pokémon,32,40,Ametamaアメタマ,Surskit,283,50,52,65,bug,water
"['Intimidate', 'Unnerve']",60,Eyeball Pokémon,62,70,Amemothアメモース,Masquerain,284,100,82,80,bug,flying
"['Effect Spore', 'Poison Heal', 'Quick Feet']",40,Mushroom Pokémon,60,60,Kinococoキノココ,Shroomish,285,40,60,35,grass,
"['Effect Spore', 'Poison Heal', 'Technician']",130,Mushroom Pokémon,80,60,Kinogassaキノガッサ,Breloom,286,60,60,70,grass,fighting
['Truant'],60,Slacker Pokémon,60,60,Namakeroナマケロ,Slakoth,287,35,35,30,normal,
['Vital Spirit'],80,Wild Monkey Pokémon,80,80,Yarukimonoヤルキモノ,Vigoroth,288,55,55,90,normal,
['Truant'],160,Lazy Pokémon,100,150,Kekkingケッキング,Slaking,289,95,65,100,normal,
"['Compoundeyes', 'Run Away']",45,Trainee Pokémon,90,31,Tutininツチニン,Nincada,290,30,30,40,bug,ground
"['Speed Boost', 'Infiltrator']",90,Ninja Pokémon,45,61,Tekkaninテッカニン,Ninjask,291,50,50,160,bug,flying
['Wonder Guard'],90,Shed Pokémon,45,1,Nukeninヌケニン,Shedinja,292,30,30,40,bug,ghost
"['Soundproof', 'Rattled']",51,Whisper Pokémon,23,64,Gonyonyoゴニョニョ,Whismur,293,51,23,28,normal,
"['Soundproof', 'Scrappy']",71,Big Voice Pokémon,43,84,Dogohmbドゴーム,Loudred,294,71,43,48,normal,
"['Soundproof', 'Scrappy']",91,Loud Noise Pokémon,63,104,Bakuongバクオング,Exploud,295,91,73,68,normal,
"['Thick Fat', 'Guts', 'Sheer Force']",60,Guts Pokémon,30,72,Makunoshitaマクノシタ,Makuhita,296,20,30,25,fighting,
"['Thick Fat', 'Guts', 'Sheer Force']",120,Arm Thrust Pokémon,60,144,Hariteyamaハリテヤマ,Hariyama,297,40,60,50,fighting,
"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,Polka Dot Pokémon,40,50,Ruririルリリ,Azurill,298,20,40,20,normal,fairy
"['Sturdy', 'Magnet Pull', 'Sand Force']",45,Compass Pokémon,135,30,Nosepassノズパス,Nosepass,299,45,90,30,rock,
"['Cute Charm', 'Normalize', 'Wonder Skin ']",45,Kitten Pokémon,45,50,Enecoエネコ,Skitty,300,35,35,50,normal,
"['Cute Charm', 'Normalize', 'Wonder Skin ']",65,Prim Pokémon,65,70,Enekororoエネコロロ,Delcatty,301,55,55,90,normal,
"['Keen Eye', 'Stall', 'Prankster']",85,Darkness Pokémon,125,50,Yamiramiヤミラミ,Sableye,302,85,115,20,dark,ghost
"['Hyper Cutter', 'Intimidate', 'Sheer Force']",105,Deceiver Pokémon,125,50,Kucheatクチート,Mawile,303,55,95,50,steel,fairy
"['Sturdy', 'Rock Head', 'Heavy Metal']",70,Iron Armor Pokémon,100,50,Cokodoraココドラ,Aron,304,40,40,30,steel,rock
"['Sturdy', 'Rock Head', 'Heavy Metal']",90,Iron Armor Pokémon,140,60,Kodoraコドラ,Lairon,305,50,50,40,steel,rock
"['Sturdy', 'Rock Head', 'Heavy Metal']",140,Iron Armor Pokémon,230,70,Bossgodoraボスゴドラ,Aggron,306,60,80,50,steel,rock
"['Pure Power', 'Telepathy']",40,Meditate Pokémon,55,30,Asananアサナン,Meditite,307,40,55,60,fighting,psychic
"['Pure Power', 'Telepathy']",100,Meditate Pokémon,85,60,Charemチャーレム,Medicham,308,80,85,100,fighting,psychic
"['Static', 'Lightningrod', 'Minus']",45,Lightning Pokémon,40,40,Rakuraiラクライ,Electrike,309,65,40,65,electric,
"['Static', 'Lightningrod', 'Minus']",75,Discharge Pokémon,80,70,Livoltライボルト,Manectric,310,135,80,135,electric,
"['Plus', 'Lightningrod']",50,Cheering Pokémon,40,60,Prasleプラスル,Plusle,311,85,75,95,electric,
"['Minus', 'Volt Absorb']",40,Cheering Pokémon,50,60,Minunマイナン,Minun,312,75,85,95,electric,
"['Illuminate', 'Swarm', 'Prankster']",73,Firefly Pokémon,75,65,Barubeatバルビート,Volbeat,313,47,85,85,bug,
"['Oblivious', 'Tinted Lens', 'Prankster']",47,Firefly Pokémon,75,65,Illumiseイルミーゼ,Illumise,314,73,85,85,bug,
"['Natural Cure', 'Poison Point', 'Leaf Guard']",60,Thorn Pokémon,45,50,Roseliaロゼリア,Roselia,315,100,80,65,grass,poison
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",43,Stomach Pokémon,53,70,Gokulinゴクリン,Gulpin,316,43,53,40,poison,
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",73,Poison Bag Pokémon,83,100,Marunoomマルノーム,Swalot,317,73,83,55,poison,
"['Rough Skin', 'Speed Boost']",90,Savage Pokémon,20,45,Kibanhaキバニア,Carvanha,318,65,20,65,water,dark
"['Rough Skin', 'Speed Boost']",140,Brutal Pokémon,70,70,Samehaderサメハダー,Sharpedo,319,110,65,105,water,dark
"['Water Veil', 'Oblivious', 'Pressure']",70,Ball Whale Pokémon,35,130,Hoerukoホエルコ,Wailmer,320,70,35,60,water,
"['Water Veil', 'Oblivious', 'Pressure']",90,Float Whale Pokémon,45,170,Whalohホエルオー,Wailord,321,90,45,60,water,
"['Oblivious', 'Simple', 'Own Tempo']",60,Numb Pokémon,40,60,Donmelドンメル,Numel,322,65,45,35,fire,ground
"['Magma Armor', 'Solid Rock', 'Anger Point']",120,Eruption Pokémon,100,70,Bakuudaバクーダ,Camerupt,323,145,105,20,fire,ground
"['White Smoke', 'Drought', 'Shell Armor']",85,Coal Pokémon,140,70,Cotoiseコータス,Torkoal,324,85,70,20,fire,
"['Thick Fat', 'Own Tempo', 'Gluttony']",25,Bounce Pokémon,35,60,Banebooバネブー,Spoink,325,70,80,60,psychic,
"['Thick Fat', 'Own Tempo', 'Gluttony']",45,Manipulate Pokémon,65,80,Boopigブーピッグ,Grumpig,326,90,110,80,psychic,
"['Own Tempo', 'Tangled Feet', 'Contrary']",60,Spot Panda Pokémon,60,60,Patcheelパッチール,Spinda,327,60,60,60,normal,
"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",100,Ant Pit Pokémon,45,45,Nuckrarナックラー,Trapinch,328,45,45,10,ground,
['Levitate'],70,Vibration Pokémon,50,50,Vibravaビブラーバ,Vibrava,329,50,50,70,ground,dragon
['Levitate'],100,Mystic Pokémon,80,80,Flygonフライゴン,Flygon,330,80,80,100,ground,dragon
"['Sand Veil', 'Water Absorb']",85,Cactus Pokémon,40,50,Saboneaサボネア,Cacnea,331,85,40,35,grass,
"['Sand Veil', 'Water Absorb']",115,Scarecrow Pokémon,60,70,Noctusノクタス,Cacturne,332,115,60,55,grass,dark
"['Natural Cure', 'Cloud Nine']",40,Cotton Bird Pokémon,60,45,Tylttoチルット,Swablu,333,40,75,50,normal,flying
"['Natural Cure', 'Cloud Nine']",110,Humming Pokémon,110,75,Tyltalisチルタリス,Altaria,334,110,105,80,dragon,flying
"['Immunity', 'Toxic Boost']",115,Cat Ferret Pokémon,60,73,Zangooseザングース,Zangoose,335,60,60,90,normal,
"['Shed Skin', 'Infiltrator']",100,Fang Snake Pokémon,60,73,Habunakeハブネーク,Seviper,336,100,60,65,poison,
['Levitate'],55,Meteorite Pokémon,65,90,Lunatoneルナトーン,Lunatone,337,95,85,70,rock,psychic
['Levitate'],95,Meteorite Pokémon,85,90,Solrockソルロック,Solrock,338,55,65,70,rock,psychic
"['Oblivious', 'Anticipation', 'Hydration']",48,Whiskers Pokémon,43,50,Dojoachドジョッチ,Barboach,339,46,41,60,water,ground
"['Oblivious', 'Anticipation', 'Hydration']",78,Whiskers Pokémon,73,110,Namazunナマズン,Whiscash,340,76,71,60,water,ground
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",80,Ruffian Pokémon,65,43,Heiganiヘイガニ,Corphish,341,50,35,35,water,
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",120,Rogue Pokémon,85,63,Shizarigerシザリガー,Crawdaunt,342,90,55,55,water,dark
['Levitate'],40,Clay Doll Pokémon,55,40,Yajilonヤジロン,Baltoy,343,40,70,55,ground,psychic
['Levitate'],70,Clay Doll Pokémon,105,60,Nendollネンドール,Claydol,344,70,120,75,ground,psychic
"['Suction Cups', 'Storm Drain']",41,Sea Lily Pokémon,77,66,Lilylaリリーラ,Lileep,345,61,87,23,rock,grass
"['Suction Cups', 'Storm Drain']",81,Barnacle Pokémon,97,86,Yuradleユレイドル,Cradily,346,81,107,43,rock,grass
"['Battle Armor', 'Swift Swim']",95,Old Shrimp Pokémon,50,45,Anopthアノプス,Anorith,347,40,50,75,rock,bug
"['Battle Armor', 'Swift Swim']",125,Plate Pokémon,100,75,Armaldoアーマルド,Armaldo,348,70,80,45,rock,bug
"['Swift Swim', 'Oblivious', 'Adaptability']",15,Fish Pokémon,20,20,Hinbassヒンバス,Feebas,349,10,55,80,water,
"['Marvel Scale', 'Competitive', 'Cute Charm']",60,Tender Pokémon,79,95,Milokarossミロカロス,Milotic,350,100,125,81,water,
['Forecast'],70,Weather Pokémon,70,70,Powalenポワルン,Castform,351,70,70,70,normal,
"['Color Change', 'Protean']",90,Color Swap Pokémon,70,60,Kakureonカクレオン,Kecleon,352,60,120,40,normal,
"['Insomnia', 'Frisk', 'Cursed Body']",75,Puppet Pokémon,35,44,Kagebouzuカゲボウズ,Shuppet,353,63,33,45,ghost,
"['Insomnia', 'Frisk', 'Cursed Body']",165,Marionette Pokémon,75,64,Juppetaジュペッタ,Banette,354,93,83,75,ghost,
"['Levitate', 'Frisk']",40,Requiem Pokémon,90,20,Yomawaruヨマワル,Duskull,355,30,90,25,ghost,
"['Pressure', 'Frisk']",70,Beckon Pokémon,130,40,Samayouruサマヨール,Dusclops,356,60,130,25,ghost,
"['Chlorophyll', 'Solar Power', 'Harvest']",68,Fruit Pokémon,83,99,Tropiusトロピウス,Tropius,357,72,87,51,grass,flying
['Levitate'],50,Wind Chime Pokémon,80,75,Chireanチリーン,Chimecho,358,95,90,65,psychic,
"['Pressure', 'Super Luck', 'Justified']",150,Disaster Pokémon,60,65,Absolアブソル,Absol,359,115,60,115,dark,
"['Shadow Tag', 'Telepathy']",23,Bright Pokémon,48,95,Sohnanoソーナノ,Wynaut,360,23,48,23,psychic,
"['Inner Focus', 'Ice Body', 'Moody']",50,Snow Hat Pokémon,50,50,Yukiwarashiユキワラシ,Snorunt,361,50,50,50,ice,
"['Inner Focus', 'Ice Body', 'Moody']",120,Face Pokémon,80,80,Onigohriオニゴーリ,Glalie,362,120,80,100,ice,
"['Thick Fat', 'Ice Body', 'Oblivious']",40,Clap Pokémon,50,70,Tamazarashiタマザラシ,Spheal,363,55,50,25,ice,water
"['Thick Fat', 'Ice Body', 'Oblivious']",60,Ball Roll Pokémon,70,90,Todogglerトドグラー,Sealeo,364,75,70,45,ice,water
"['Thick Fat', 'Ice Body', 'Oblivious']",80,Ice Break Pokémon,90,110,Todoserugaトドゼルガ,Walrein,365,95,90,65,ice,water
"['Shell Armor', 'Rattled']",64,Bivalve Pokémon,85,35,Pearluluパールル,Clamperl,366,74,55,32,water,
"['Swift Swim', 'Water Veil']",104,Deep Sea Pokémon,105,55,Huntailハンテール,Huntail,367,94,75,52,water,
"['Swift Swim', 'Hydration']",84,South Sea Pokémon,105,55,Sakurabyssサクラビス,Gorebyss,368,114,75,52,water,
"['Swift Swim', 'Rock Head', 'Sturdy']",90,Longevity Pokémon,130,100,Glanthジーランス,Relicanth,369,45,65,55,water,rock
"['Swift Swim', 'Hydration']",30,Rendezvous Pokémon,55,43,Lovecusラブカス,Luvdisc,370,40,65,97,water,
"['Rock Head', 'Sheer Force']",75,Rock Head Pokémon,60,45,Tatsubayタツベイ,Bagon,371,40,30,50,dragon,
"['Rock Head', 'Overcoat']",95,Endurance Pokémon,100,65,Komoruuコモルー,Shelgon,372,60,50,50,dragon,
"['Intimidate', 'Moxie']",145,Dragon Pokémon,130,95,Bohmanderボーマンダ,Salamence,373,120,90,120,dragon,flying
"['Clear Body', 'Light Metal']",55,Iron Ball Pokémon,80,40,Dumbberダンバル,Beldum,374,35,60,30,steel,psychic
"['Clear Body', 'Light Metal']",75,Iron Claw Pokémon,100,60,Metangメタング,Metang,375,55,80,50,steel,psychic
"['Clear Body', 'Light Metal']",145,Iron Leg Pokémon,150,80,Metagrossメタグロス,Metagross,376,105,110,110,steel,psychic
"['Clear Body', 'Sturdy']",100,Rock Peak Pokémon,200,80,Regirockレジロック,Regirock,377,50,100,50,rock,
"['Clear Body', 'Ice Body']",50,Iceberg Pokémon,100,80,Regiceレジアイス,Regice,378,100,200,50,ice,
"['Clear Body', 'Light Metal']",75,Iron Pokémon,150,80,Registeelレジスチル,Registeel,379,75,150,50,steel,
['Levitate'],100,Eon Pokémon,120,80,Latiasラティアス,Latias,380,140,150,110,dragon,psychic
['Levitate'],130,Eon Pokémon,100,80,Latiosラティオス,Latios,381,160,120,110,dragon,psychic
['Drizzle'],150,Sea Basin Pokémon,90,100,Kyogreカイオーガ,Kyogre,382,180,160,90,water,
['Drought'],180,Continent Pokémon,160,100,Groudonグラードン,Groudon,383,150,90,90,ground,
['Air Lock'],180,Sky High Pokémon,100,105,Rayquazaレックウザ,Rayquaza,384,180,100,115,dragon,flying
['Serene Grace'],100,Wish Pokémon,100,100,Jirachiジラーチ,Jirachi,385,100,100,100,steel,psychic
['Pressure'],95,DNA Pokémon,90,50,Deoxysデオキシス,Deoxys,386,95,90,180,psychic,
"['Overgrow', 'Shell Armor']",68,Tiny Leaf Pokémon,64,55,Naetleナエトル,Turtwig,387,45,55,31,grass,
"['Overgrow', 'Shell Armor']",89,Grove Pokémon,85,75,Hayashigameハヤシガメ,Grotle,388,55,65,36,grass,
"['Overgrow', 'Shell Armor']",109,Continent Pokémon,105,95,Dodaitoseドダイトス,Torterra,389,75,85,56,grass,ground
"['Blaze', 'Iron Fist']",58,Chimp Pokémon,44,44,Hikozaruヒコザル,Chimchar,390,58,44,61,fire,
"['Blaze', 'Iron Fist']",78,Playful Pokémon,52,64,Moukazaruモウカザル,Monferno,391,78,52,81,fire,fighting
"['Blaze', 'Iron Fist']",104,Flame Pokémon,71,76,Goukazaruゴウカザル,Infernape,392,104,71,108,fire,fighting
"['Torrent', 'Defiant']",51,Penguin Pokémon,53,53,Pochamaポッチャマ,Piplup,393,61,56,40,water,
"['Torrent', 'Defiant']",66,Penguin Pokémon,68,64,Pottaishiポッタイシ,Prinplup,394,81,76,50,water,
"['Torrent', 'Defiant']",86,Emperor Pokémon,88,84,Emperteエンペルト,Empoleon,395,111,101,60,water,steel
"['Keen Eye', 'Reckless']",55,Starling Pokémon,30,40,Mukkuruムックル,Starly,396,30,30,60,normal,flying
"['Intimidate', 'Reckless']",75,Starling Pokémon,50,55,Mukubirdムクバード,Staravia,397,40,40,80,normal,flying
"['Intimidate', 'Reckless']",120,Predator Pokémon,70,85,Mukuhawkムクホーク,Staraptor,398,50,60,100,normal,flying
"['Simple', 'Unaware', 'Moody']",45,Plump Mouse Pokémon,40,59,Bippaビッパ,Bidoof,399,35,40,31,normal,
"['Simple', 'Unaware', 'Moody']",85,Beaver Pokémon,60,79,Beadaruビーダル,Bibarel,400,55,60,71,normal,water
"['Shed Skin', 'Run Away']",25,Cricket Pokémon,41,37,Korobohshiコロボーシ,Kricketot,401,25,41,25,bug,
"['Swarm', 'Technician']",85,Cricket Pokémon,51,77,Korotockコロトック,Kricketune,402,55,51,65,bug,
"['Rivalry', 'Intimidate', 'Guts']",65,Flash Pokémon,34,45,Kolinkコリンク,Shinx,403,40,34,45,electric,
"['Rivalry', 'Intimidate', 'Guts']",85,Spark Pokémon,49,60,Luxioルクシオ,Luxio,404,60,49,60,electric,
"['Rivalry', 'Intimidate', 'Guts']",120,Gleam Eyes Pokémon,79,80,Rentorarレントラー,Luxray,405,95,79,70,electric,
"['Natural Cure', 'Poison Point', 'Leaf Guard']",30,Bud Pokémon,35,40,Subomieスボミー,Budew,406,50,70,55,grass,poison
"['Natural Cure', 'Poison Point', 'Technician']",70,Bouquet Pokémon,65,60,Roseradeロズレイド,Roserade,407,125,105,90,grass,poison
"['Mold Breaker', 'Sheer Force']",125,Head Butt Pokémon,40,67,Zugaidosズガイドス,Cranidos,408,30,30,58,rock,
"['Mold Breaker', 'Sheer Force']",165,Head Butt Pokémon,60,97,Rampaldラムパルド,Rampardos,409,65,50,58,rock,
